Question,Answer
What does Dicky's family realize to be the destroyer in Dicky's life and career after seeing a documentary on HBO?,Crack
Who is the manager that gets Micky away from his family of bad influence and encourages him back into the ring?,Sal Lanano
"During his series of fights to regain his career, whose advice does Micky follow to gain momentum against his opponent?","his brother, Dicky"
Which member of Micky's family realize that other members of the family are bad influences?,Micky's father
Who does Dicky seek out to work with in reuniting the family?,Charlene
In what location does the group go for the final title fight?,London
What reward does Micky gain in the final victory?,The welterweight title
What is Charlene Fleming's current occupation?,A bartender
How much heavier than Micky is Micky's opponent in Atlantic City?,Twenty pounds
Why do Micky and his family agree to the fight in Atlantic City?,To win the purse
What does Dicky have his girlfriend pose as?,A Prostitute
Who does Micky accuse of favoring Dicky?,His mother
Where does Micky's last fight occur?,London
What happens to Dicky when he poses as a policeman?,He is arrested
What title does MIcky finally win?,Welterweight Champion
Who suffers from a crack addiction?,Dicky
What criminal crime did dickey commit that caused him to get arrested ?,"Dickey had his girlfriend pose as a prostitute, then pretend to be a cop to extort money"
How did Mickey break his hand?,It was broken by the police officer that arrested him while he was trying to defend his brother from police 
What did sal lanano convicence Mickey that he must do in order to return to boxing?,Cut all ties with his brother and mother and brother.
What was the title of the hbo documentary about dickey?,Crack in America how crack addiction ruined dicys career 
Why did Mickey have reservations about his fight in Atlantic City ?,Because the person he was supposed to fight was ill and the replacement fighter was 20 pounds heavier 
Where was the final title fight ?,London
Who does Mickey credit for his victory in the end?,Dickey
Who wins the sparing match between Mickey and dickey?,Mickey
Who leads Mickey back to boxing after the hbo documentary is realeases?,His father
What weight class does Mickey become champion of at the end of the story?,The welterweight title 
Where is the Enterprise ambushed by the Scimitar?,In Federation space.
What comes to Enterprise's aid?,Two Romulan Warbirds.
What does Shinzon do to the two Romulan Warbirds?,Destroys one and disables the other.
Why does Shinzon activate the thalaron weapon?,To assure complete destruction of Enterprise and Scimitar ships.
Why is Shinzon aging rapidly?,Due to it being a clone.
Whose primary weapons were destroyed?,Scimitar's.
Who kidnaps Picard from the Enterprise?,Shinzon.
Who is Shinzon a clone of?,Picard.
Why was Shinzon created?,To plant a high ranking spy into the Federation.
Who created Shinzon?,The Romulans.
What is the name of the Reman rebel leader?,Shinzon.
On what planet do Will Riker and Deanna Troi plan to marry?,Betazed.
What is the name of android that resembles Data?,B-4.
Who is Shinzon a clone of?,Captain Picard.
What is the name of Shinzon's flagship?,The Scimitar.
What does Shinzon need in order to stop rapidly aging and save his life?,Picard's blood.
Who rescues Picard from Shinzon?,Data.
What planet is endangered by Shinzon's plans to use the thalaron radiation generator?,Earth.
Who kills Shinzon?,Picard.
Who will become commander of the USS Titan?,Riker.
Why is Shinzon aging rapidly?,Because he is a clone.
Which person (other than himself) does Shinzon most resemble?,Picard
What is detected by the Enterprise when they travel through the Kolaron planetary system?,Emissions of positronic energy 
Who does Shinzon kidnap from the Enterprise?,Picard and B-4
What is the Scimitar?,A warship 
Why does Shinzon activate the Thalaron weapon?,To destroy both the Scimitar and the Enterprise 
How does Shinzon die?,Impaled on a piece of metal
Why does the Enterprise travel to Earth?,For repairs
How does Dr. Crusher treat Shinzon?,By transfusing Picard's blood
What do Riker and Troy hope to accomplish on Betazed?,They hope to be married
What is Lisbeth's nickname?,Longskirt
How did Lisbeth get her long skirt?,It was a Christmas present from her brother
What is Lisbeth's job on the farm?,caring for livestock
What is Jacob's relationship to Lisbeth?,he is her brother
How did Lisbeth get her nickname?,her skirt was too long
What happened that made Lisbeth move to Hoel farm?,her mother died
What was New Ridge Farm also known as?,Peerout Castle
What is the seter?,A mountain pasture
When does Lisbeth go to the seter?,in the summer
Jacob goes to Nordrum farm to become what?,a herdsman
What is Lisbeth's nickname?,Longskirt.
What is the name for a mountain pasture that herdsmen use during the summer?,Seter.
What is Lisbeth's brother's name?,Jacob.
"What is the alternative name for Lisbeth's childhood home, New Ridge farm?",Peerout Castle.
"Who gave Lisbeth her Christmas present, from which her nickname was derived? ",Jacob.
Why do Lisbeth and her brother move away from their childhood home?,Their mother dies.
Kjersti Hoel takes care of Lisbeth when she comes to his farm. What made him feel obligated to take care of her?,He made a promise to Lisbeth's mother before she died. 
Lisbeth works on Hoel farm. What does she work with?,Livestock.
"Besides working, how does Lisbeth spend her summer at the mountain pasture?",She gets to know two herdsmen from nearby farms.
Who is Jacob to Lisbeth?,He is her brother. 
Where does Lisbeth get her nickname?,from her skirt being too long
Where did the skirt come from?,Lisbeth got it as a gift from her brother.
What is Lisbeth's home called?,Peerout Castle
What is Lisbeth's brother's name?,Jacob
What job does Lisbeth's brother take?,a herdsman
What is the name of the farm Lisbeth moves to?,Hoel
Who owns the farm?,Kjersti Hoel
What job does LIsbeth have at the farm?,livestock
Why does the farm owner take care of Lisbeth?,she made a promise to her mother
Who does Lisbeth meet in the seter?,two herdsmen from other farms 
Who did Jim Morrison see dying on a desert highway in 1949?,An elderly Native American 
In which U.S. state did Jim Morrison arrive in 1965?,California
At what school did Jim Morrison study?,UCLA
Who was Jim Morrison's girlfriend during his days at UCLA?,Pamela Courson
Why did Jim Morrison invite his classmates to Death Valley?,to experience psychedelic drugs
What was Jim Morrison's nickname as his band became more popular?,The Lizard King
Who was a rock journalist with whom Jim participated in witchcraft?,Patricia Kennealy
"What criminal charges did Jim have brought against him at in Miami, FL?",Jim Morrison allegedly exposed himself on stage
Who was pregnant with Jim Morrison's child?,Patricia Kenneally
Where did Pamela Courson find Jim Morrison dead in 1971?,"In a bathtub in Paris, France"
What is the name of the night club in Los Angeles where the Doors grew their fan base?,Whiskey a Go Go
What self-image does Jim become increasingly obsessed with?,"""The Lizard King"""
What did Jim do during a Miami concert that was thought to be a low point for the band?,Jim allegedly exposed himself on stage
"By first name, who are the Doors band members?","Jim, Ray, Robbie, and John"
How old was Jim Morrison at his death?,27
What was Jim's cause of death?,Heart failure
What gift does Jim give his band mates at his last visit with them at Ray's party?,Jim gave them each a copy of An American Prayer. 
What is Jim's reaction to Patricia's news she is pregnant?,Jim wants Patricia to have an abortion. 
What school does Jim attend in California?,UCLA
Who is Pamela Courson to Jim?,Jim's girlfriend. 
What does Jim convince his bandmates to do?,Travel to Death Valley to try psychedelic drugs.
"After becoming a success, what image does Jim become infatuated with?","He is infatuated with his personal image of ""The Lizard King"" which causes him to fall into alcoholism and drug abuse."
What does Jim participate in with Patricia?,He participates in mystical ceremonies and joins in a handfasting ceremony.
What ultimately causes a downfall for the band?,"Jim arrives late to a concert in Miami, confronts the crowd and also exposes himself while onstage."
What was the verdict in Jim's case?,Jim was found guilty of indecent exposure.
What do Jim and Patricia do when they find out she is pregnant?,Patricia is convinced to have an abortion.
Where does Pam find Jim is dead?,In a bathtub while in Paris.
What was the alleged cause of Jim's death?,His death was attributed to heart failure.
Where does Jim meet eh eventual members of their band?,While he was attending UCLA studying in film school.
Whats does Jim do when he attends a party thrown by his bandmates for a final time?,He wishes them luck and gives them a copy of An American Prayer.
What is the name of the document discussed in this article?,The Universal House of Justice
What does the Universal House of Justice say is possible for the first time in human history?,World Peace
What is one problem that The Universal House of Justice says must be addressed?,Religious Strife
The Universal House of Justice calls for the support of who?,The United Nations and all people
Human beings are the creation of who?,God
Who is quoted in the Universal House of Justice?,Baha'u'llah
The Universal House of Justice says that peace cannot happen without what?,Religion
What does peace need to be founded on?,the thought that mankind is one human family
"If we decide to do so what are we, as humans capable of creating?",A peaceful world
What discriminations need to be addressed?,"Race, gender and religion"
What entity produces the Statement?,The Universal House of Justice.
Which widespread belief is seen as causing the most harm?,The belief that humans are inherenty hostile and aggressive.
How does international governance let the world down?,"By its' inability to do away with war, anarchy, terrorism and unstable economies."
What is required for peace to occur?,Religion.
How does the U.H.o.J. see religious strife occuring?,Through a combination of human negligence and interpretive error of religion.
Why does interpretive error harm religious faith?,Errors separate faith from reason.
What is the largest disparity?,Between the rich and the poor.
What sort of discrimination afflicts the world?,"Race, religious, and gender discrimination."
How does the Universal House of Justice describe mankind?,Mankind is one human family.
What document states world peace is now possible?,Universal House of Justice
Human beings are believed to be intrinsically? ,Hostile
A contrary argument states human beings are fundamentally what?,Spiritual
Peace cannot occur without what?,Religion
Who is the founder of Baha'i?,Baha'u'llah
What has separated faith from reason and science from religion?,Erroneous interpretations
Peace can only be achieved by addressing the?,Underlying problems
There is an inordinate disparity between the rich and the?,Poor
There is a fundamental lack of what between people?,Communication
Peace must be founded on the understanding that mankind is?,One human family
What government office does Maya work for?,the CIA
Who is Maya trying to track down?,Bin Laden
Who does Maya think Abu Ahmed is?,Bin Laden's courier
Who visually confirms Bin Laden's body when it is brought to the base?,Maya
What kind of vehicle is used to raid the compound?,helicopters
What bombing did Maya survive in 2008?,The hotel bombing in Islamabad
Why was Maya sent to Washington DC?,she was blacklisted by Al-Qaeda
Who is Maya's partner when she first arrives from the US?,Dan
What happened to Jessica?,she is killed in a bombing
Who is President of the United States when the compound is raided?,Barak Obama
What political group has Maya been assigned to investigate?,The Al-Quadea
"Who does Maya acccompany Dan to interrogate at the ""black sight""?",Ammar Al Beluchi
What information does Ammar eventually concede to Maya and Dan?,That Abu Ahmed is Bin Laden's courier
What does Dan give to a Kuwaiti Prince in exchange for information?,A Lambourghini
What clue directs Maya to believe Ahmed is still alive?,Morrocan intelligence that identifies Ahmed as Sayeed
What piece of information does the Kuwaiti prince give the US intelligence service?,Sayeed's mother's telephone number
What is Ahmed's real identity?,Ibrahim Sayeed
Where does the CIA trace Sayeed's calls to?,"A compound in Abbottabad, Pakistan"
Who do Dan and Maya believe is hiding in Abbottabad?,Bin Laden
Who is identified and klilled in a nightime raid?,Bin Laden
Who has Maya spent her career studying?,Osama Bin Laden 
Where is the embassy Maya gets assigned to?,Pakistan
What luxury item does Dan purchase with CIA funds? ,a lamborghini
On what date is the raid executed on the compound?,2-May-11
What happens to complicate the raid?,a helicopter crashes 
Why is Maya removed from the field?,Because she will be a target for Al-Qaeda if she stays
Where were the stealth helicopters created?,Area 51
Who confirms the identity of Bin Laden's corpse?,Maya 
Who is the detainee being tortured for information?,Ammar al-Baluchi
What military members executed the raid?,SEALs
What year was the story set in?,The story was set in 1584
Who is Emily St. Aubert?,Emily St Aubert is a young french woman who became orphaned after her father died.
"Where was Emily St, Aubert imprisoned?",Emily St. Aubert was imprisoned at  castle Udolpho
What did Emily and her father  shared  appreciation for?,Nature
Who is Emily in love with?,Valancourt
Who became Emily guardian after her father dealth?,Her aunt Madame Cheron
Who is marry to Madame Cheron?,Signor Montoni
Who did Montoni tries to force Emily to marry?,Count Morano
Who help Emily escape from the castle?,"Du Point ,Annette  and Ludovico"
Where did Emily escape to when she left the castle?,Her aunt estate.
Where was Emily imprisoned?,In a castle at Udolpho.
Who is Emily imprisoned by?,"Her aunts husband, Signor Montoni."
Why did Emily and her father share a close bond?,They both appreciated nature.
What caused Emily's mother to die?,She died from a serious illness.
When did Emily meet Valacourt?,During the journey with her father through the Pyrenees.
Why does Emily live with her aunt after her father's death?,Those were her father's wishes.
Who wants Emily to marry Count Morano?,"Montoni, her aunt's husband."
Why does Emily refuse to join Morano?,She still loves Valancourt.
Who helps Emily stay safe in the castle?,"Her secret admirer, Du Pont and the servants Annette and Ludovico."
Who keeps the property after Madam Cheron's death?,Emily.
In what year is this story set?,1584
What Mediterranean coast do Emily and her father visit on their journey?,Roussillon
"When Emilys' father dies, who becomes her guardian?",Her Aunt
Who owns the castle in which Emily is imprisoned?,Signor Montoni
Who does Emily become romantically involved with?,Valancourt
With what does Signor Montoni threaten his wife with to get her to sign over her properties?,Violence
What causes Madam Cherons' illness?,Her husbands harshness
Who helps Emily escape the castle?,Du Pont
Where did Valancourt lose his wealth?,Paris
What is Frankie Ryan and his friend's real dream?,To perform as radio comedians on the air with their own show.
"Why was the station trying to get rid of moody singer, Rita Wilson?",They were having financial problems.
Who was in the audience while Rita Wilson was rehearsing and tried to slip out the back door before the shooting?,"Cowboy singer, Tex Barton."
Who had an argument with Rita not long before the shooting?,"Station producer, Farrell."
"As a sign of gratitude, what does Farrell promise Frankie by not telling the police about Farrell and Rita's argument before her death?",To give Anne a real audition for the position of singer since the position is empty.
Where was the weapon found used to kill Rita?,In a ventilator duct.
Who is arrested by the police and suspected of the murder of Rita?,Anne.
Where is Tex found murdered?,In the office of the station owner.
Who confesses to both crimes?,Van Martin.
What happens when Jeff enters the room unannounced?,He accidentally knocks the gun out of Van Martin's hand and the police arrest him.
What is Frankie Ryan's career?,He works as a page boy at a radio station in Hollywood.
What is Frankie's dream job?,To perform as a comedian on a radio show.
What happens when Frankie and Jeff try to help the station receptionist?,They are almost fired for setting up a false audition for the role of a singer.
Why does the station want to get rid of their current singer?,They are having financial difficulties.
What happens to Rita during the blackout?,She is shot and killed when rehearsing for a broadcast.
Who do the police suspect in the shooting?,"Tex Barton, a wannabe cowboy singer."
Why is the station manager afraid he might be seen as a suspect?,He had an argument with Rita before the shooting.
Who finds the murder weapon and where do they find it?,Frankie finds it in a ventilator duct. 
What happens when Frankie and Jeff try to audition for a comedy role?,The police comee looking for Tex and find him murdered in the office of the stage manager.
Who confesses to both crimes?,"Van Martin, one of the station executives."
What happened to Rita Wilson while the blackout was occuring during her rehearsal?,"She is shot, and killed."
"Why is station producer, Farrell, afraid of becoming a suspect in Rita's murder?",Because he was in an argument shortly before the shooting took place.
